Date,AAPL,MSFT,GOOGL,TSLA,NVDA
2018-01-02,40.42683029174805,79.32853698730469,53.40517044067383,21.368667602539062,4.929428577423096
2018-01-03,40.41978454589844,79.69770812988281,54.31631851196289,21.149999618530273,5.253852844238281
2018-01-04,40.60753631591797,80.39917755126953,54.527305603027344,20.974666595458984,5.281547546386719
2018-01-05,41.06985092163086,81.3959732055664,55.25035095214844,21.10533332824707,5.326306343078613
2018-01-08,40.91731643676758,81.4790267944336,55.44541931152344,22.42733383178711,5.489505290985107
2018-01-09,40.91262435913086,81.42366790771484,55.374755859375,22.246000289916992,5.488022804260254
2018-01-10,40.903236389160156,81.05445098876953,55.242889404296875,22.31999969482422,5.531047821044922
2018-01-11,41.13557815551758,81.29444122314453,55.337928771972656,22.530000686645508,5.540939807891846
2018-01-12,41.56035232543945,82.69731903076172,56.26350784301758,22.4146671295166,5.513739585876465
2018-01-16,41.3491325378418,81.54364776611328,56.265995025634766,22.67066764831543,5.442771911621094
2018-01-17,42.032073974609375,83.19571685791016,56.683998107910156,23.143999099731445,5.556764125823975
2018-01-18,42.069618225097656,83.15880584716797,56.52824020385742,22.971332550048828,5.549840927124023
2018-01-19,41.881866455078125,83.06654357910156,56.902950286865234,23.334667205810547,5.6900458335876465
2018-01-22,41.53923416137695,84.55248260498047,57.931034088134766,23.437332153320312,5.778570175170898
2018-01-23,41.54861831665039,84.82014465332031,58.52867889404297,23.519332885742188,5.907647609710693
2018-01-24,40.886810302734375,84.74632263183594,58.28583908081055,23.05933380126953,5.830745697021484
2018-01-25,40.15693283081055,85.21703338623047,58.82575607299805,22.50933265686035,5.844344615936279
2018-01-26,40.25080871582031,86.8137435913086,59.095462799072266,22.856666564941406,6.01694393157959
2018-01-29,39.41767883300781,86.68453216552734,59.041725158691406,23.302000045776367,6.1039838790893555
2018-01-30,39.185340881347656,85.59540557861328,58.5883903503418,23.05466651916504,6.001859188079834
2018-01-31,39.293296813964844,87.6905517578125,58.829734802246094,23.62066650390625,6.078022003173828
2018-02-01,39.37543869018555,86.99833679199219,58.79838943481445,23.28333282470703,5.946964263916016
2018-02-02,37.66693115234375,84.70939636230469,55.69373321533203,22.916667938232422,5.774365425109863
2018-02-05,36.725852966308594,81.22058868408203,52.86674499511719,22.208667755126953,5.284268856048584
2018-02-06,38.26068115234375,84.29405975341797,53.963504791259766,22.264667510986328,5.578030586242676
2018-02-07,37.44163131713867,82.70655059814453,52.519405364990234,23.0,5.657651901245117
2018-02-08,36.41136932373047,78.46094512939453,50.14575958251953,21.01533317565918,5.378726482391357
2018-02-09,36.85673522949219,81.38673400878906,52.06458282470703,20.69466781616211,5.7387590408325195
2018-02-12,38.34126281738281,82.26356506347656,52.47711181640625,21.048667907714844,5.638612270355225
2018-02-13,38.725364685058594,82.90959930419922,52.45621109008789,21.577333450317383,5.752359867095947
2018-02-14,39.439353942871094,84.20782470703125,53.37979507446289,21.487333297729492,5.9697136878967285
2018-02-15,40.763668060302734,85.92332458496094,54.308353424072266,22.271333694458008,6.095328330993652
2018-02-16,40.63170623779297,85.31131744384766,54.514373779296875,22.365999221801758,6.0295538902282715
2018-02-20,40.495033264160156,85.97897338867188,54.91694641113281,22.31800079345703,6.1591267585754395
2018-02-21,40.31123733520508,84.83837890625,55.42252731323242,22.219999313354492,5.971940040588379
2018-02-22,40.648189544677734,85.06095123291016,55.2309455871582,23.077999114990234,5.9914870262146
2018-02-23,41.355133056640625,87.2215576171875,56.1361198425293,23.469999313354492,6.085014343261719
2018-02-26,42.172813415527344,88.48268127441406,56.91290283203125,23.827999114990234,6.10109806060791
2018-02-27,42.03614044189453,87.35135650634766,55.60963439941406,23.39933204650879,6.088231086730957
2018-02-28,41.972503662109375,86.95262145996094,54.93336486816406,22.87066650390625,5.987776279449463
2018-03-01,41.23731231689453,86.0995101928711,53.31560134887695,22.062000274658203,5.745542526245117
2018-03-02,41.522438049316406,86.28498077392578,53.949073791503906,22.341333389282227,5.852677822113037
2018-03-05,41.66617202758789,86.8320541381836,54.477542877197266,22.22333335876465,5.830657005310059
2018-03-06,41.63083267211914,86.53535461425781,54.7830810546875,21.8799991607666,5.991733074188232
2018-03-07,41.244380950927734,87.03607940673828,55.48672103881836,22.15333366394043,5.983816146850586
2018-03-08,41.6944580078125,87.56465911865234,56.20030975341797,21.940000534057617,5.967485427856445
2018-03-09,42.41080093383789,89.521240234375,57.76582717895508,21.81133270263672,6.070168972015381
2018-03-12,42.82081985473633,89.73452758789062,58.01911544799805,23.034000396728516,6.179779529571533
2018-03-13,42.408443450927734,87.5461196899414,56.724300384521484,22.78933334350586,6.129056930541992
2018-03-14,42.04791259765625,87.02682495117188,57.17116928100586,21.775333404541016,6.154541492462158
2018-03-15,42.09740447998047,87.33281707763672,57.25675582885742,21.706666946411133,6.169386863708496
2018-03-16,41.94894790649414,87.7222900390625,56.45111083984375,21.42333221435547,6.197595119476318
2018-03-19,41.30800247192383,86.13661193847656,54.741783142089844,20.90399932861328,5.963030815124512
2018-03-20,41.29387283325195,86.35914611816406,54.529293060302734,20.703332901000977,6.175325870513916
2018-03-21,40.35836410522461,85.75641632080078,54.439727783203125,21.101999282836914,6.150087356567383
2018-03-22,39.78810501098633,83.2619857788086,52.406944274902344,20.606666564941406,5.984063625335693
2018-03-23,38.866756439208984,80.84172821044922,51.083274841308594,20.1026668548584,5.764346122741699
2018-03-26,40.711822509765625,86.96189880371094,52.45372009277344,20.278667449951172,6.049136638641357
2018-03-27,39.66792678833008,82.96525573730469,50.10743713378906,18.61199951171875,5.580011367797852
2018-03-28,39.229644775390625,82.89108276367188,50.019859313964844,17.185333251953125,5.476834774017334
2018-03-29,39.53596878051758,84.6343994140625,51.610252380371094,17.742000579833984,5.73020076751709
2018-04-02,39.276771545410156,82.0843276977539,50.39058303833008,16.832000732421875,5.4694108963012695
2018-04-03,39.679710388183594,83.18781280517578,50.6916389465332,17.8353328704834,5.575804710388184
2018-04-04,40.438480377197266,85.6173324584961,51.24052047729492,19.12933349609375,5.597827434539795
2018-04-05,40.71890640258789,85.66368865966797,51.38632583618164,20.381332397460938,5.477578163146973
2018-04-06,39.67736053466797,83.66999816894531,50.257225036621094,19.953332901000977,5.301159381866455
2018-04-09,40.07088851928711,84.1707534790039,50.761810302734375,19.310667037963867,5.329861164093018
2018-04-10,40.82494354248047,86.1273422241211,51.578407287597656,20.31333351135254,5.6391472816467285
2018-04-11,40.63405990600586,85.1814956665039,51.00912857055664,20.062000274658203,5.597827434539795
2018-04-12,41.034664154052734,86.77645874023438,51.617713928222656,19.60533332824707,5.804677963256836
2018-04-13,41.17367172241211,86.31278991699219,51.555511474609375,20.022666931152344,5.727973937988281
2018-04-16,41.43053436279297,87.32353973388672,52.056121826171875,19.413999557495117,5.727726459503174
2018-04-17,42.00078201293945,89.08541107177734,53.71120834350586,19.179332733154297,5.877421855926514
2018-04-18,41.90652084350586,89.42852020263672,53.513648986816406,19.55666732788086,5.848471641540527
2018-04-19,40.71890640258789,89.12249755859375,54.21331024169922,20.005332946777344,5.667107105255127
